Day,Campaign Name,Ad Set Name,Ad Name,Reach,Impressions,Frequency,Amount Spent,Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Messaging Conversations Started,Cost per Messaging Conversations Started
2025-08-10,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,826,1024,1.24,17.34,20,0.87,1.95,6,2.89
2025-08-10,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1837,2117,1.15,51.17,39,1.31,1.84,13,3.94
2025-08-10,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,1877,2325,1.24,55.97,35,1.6,1.51,10,5.6
2025-08-11,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,7569,9647,1.27,140.42,102,1.38,1.06,10,14.04
2025-08-11,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,4032,4759,1.18,77.01,40,1.93,0.84,23,3.35
2025-08-11,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,1539,1832,1.19,39.96,20,2,1.09,8,5
2025-08-11,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,1209,1439,1.19,26.42,30,0.88,2.08,7,3.77
2025-08-11,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1543,1801,1.17,37.39,28,1.34,1.55,6,6.23
2025-08-11,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,1673,1937,1.16,41.87,33,1.27,1.7,5,8.37
2025-08-12,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,5865,6801,1.16,92.31,24,3.85,0.35,4,23.08
2025-08-12,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,2418,2822,1.17,42.98,23,1.87,0.82,9,4.78
2025-08-12,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,936,1107,1.18,25.42,18,1.41,1.63,5,5.08
2025-08-12,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,920,1086,1.18,20.39,21,0.97,1.93,3,6.8
2025-08-12,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1177,1374,1.17,30.62,24,1.28,1.75,6,5.1
2025-08-12,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,717,842,1.17,20.44,22,0.93,2.61,5,4.09
2025-08-13,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,80,87,1.09,1.16,2,0.58,2.3,,
2025-08-13,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,45,51,1.13,0.93,,,,2,0.47
2025-08-13,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,18,18,1,0.29,,,,,
2025-08-13,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,19,23,1.21,0.36,,,,,
2025-08-13,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,21,23,1.1,0.62,,,,,
2025-08-13,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,12,13,1.08,0.27,1,0.27,7.69,,
2025-08-25,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,7200,8371,1.16,174.18,56,3.11,0.67,3,58.06
2025-08-25,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,6422,6677,1.04,143.51,46,3.12,0.69,21,6.83
2025-08-25,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,869,951,1.09,30.96,11,2.81,1.16,5,6.19
2025-08-25,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,1485,1630,1.1,41.7,25,1.67,1.53,1,41.7
2025-08-25,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1806,2003,1.11,55.39,34,1.63,1.7,12,4.62
2025-08-25,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,1840,1960,1.07,72.91,38,1.92,1.94,7,10.42
2025-08-26,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,4307,6292,1.46,130.5,53,2.46,0.84,13,10.04
2025-08-26,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,2980,3718,1.25,88.57,45,1.97,1.21,19,4.66
2025-08-26,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,1129,1397,1.24,43.38,26,1.67,1.86,12,3.62
2025-08-26,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,1096,1360,1.24,34.62,35,0.99,2.57,7,4.95
2025-08-26,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1897,2262,1.19,60.76,32,1.9,1.41,13,4.67
2025-08-26,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,1650,1933,1.17,57.11,41,1.39,2.12,5,11.42
2025-08-27,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,4166,6040,1.45,102.23,32,3.19,0.53,7,14.6
2025-08-27,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,3245,3951,1.22,68.19,31,2.2,0.78,13,5.25
2025-08-27,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,1993,2269,1.14,41.27,20,2.06,0.88,7,5.9
2025-08-27,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,559,692,1.24,13.43,12,1.12,1.73,1,13.43
2025-08-27,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1698,2138,1.26,51.82,54,0.96,2.53,13,3.99
2025-08-27,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,971,1185,1.22,35.78,24,1.49,2.03,8,4.47
2025-08-28,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,3808,5388,1.41,105.8,32,3.31,0.59,6,17.63
2025-08-28,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,2279,2843,1.25,68.59,44,1.56,1.55,18,3.81
2025-08-28,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,1038,1317,1.27,37.98,21,1.81,1.59,11,3.45
2025-08-28,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,247,286,1.16,7.03,5,1.41,1.75,2,3.52
2025-08-28,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1818,2257,1.24,57.04,36,1.58,1.6,10,5.7
2025-08-28,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,985,1257,1.28,38.28,30,1.28,2.39,5,7.66
2025-08-29,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,2925,3955,1.35,98.18,25,3.93,0.63,3,32.73
2025-08-29,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,1882,2189,1.16,60.3,32,1.88,1.46,20,3.01
2025-08-29,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,1008,1200,1.19,39.41,20,1.97,1.67,7,5.63
2025-08-29,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,180,200,1.11,9.01,6,1.5,3,1,9.01
2025-08-29,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1980,2386,1.21,77.33,73,1.06,3.06,16,4.83
2025-08-29,(TL) PP - Junio 2025 - T02,03_Estados Envío Gratis,03 Lista de precios,155,185,1.19,4.83,5,0.97,2.7,2,2.42
2025-08-30,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,3654,4754,1.3,89.11,32,2.78,0.67,10,8.91
2025-08-30,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,1657,1947,1.18,50.59,18,2.81,0.92,10,5.06
2025-08-30,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,682,818,1.2,27.11,13,2.09,1.59,5,5.42
2025-08-30,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,220,248,1.13,9.18,5,1.84,2.02,1,9.18
2025-08-30,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,1830,2314,1.26,73.74,63,1.17,2.72,17,4.34
2025-08-31,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,4724,6728,1.42,123.52,41,3.01,0.61,13,9.5
2025-08-31,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,2796,3533,1.26,73.98,47,1.57,1.33,18,4.11
2025-08-31,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,1122,1390,1.24,43.98,15,2.93,1.08,5,8.8
2025-08-31,(TL) PP - Junio 2025 - T02,01_Estados Envío Gratis -,01 Lista de precios,717,838,1.17,24.48,23,1.06,2.74,5,4.9
2025-08-31,(TL) PP - Junio 2025 - T02,02_Estados Envío Gratis,02  Lista de precios,2904,3790,1.31,99.12,67,1.48,1.77,16,6.2
