Day,Campaign Name,Ad Set Name,Ad Name,Reach,Impressions,Frequency,Amount Spent,Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Messaging Conversations Started,Cost per Messaging Conversations Started
2025-06-12,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5952,7118,1.2,97.73,53,1.84,0.74,21,4.65
2025-06-12,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,290,342,1.18,17.41,1,17.41,0.29,1,17.41
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,138,174,1.26,9.13,1,9.13,0.57,1,9.13
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,1277,1762,1.38,74.73,16,4.67,0.91,3,24.91
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,8,12,1.5,1.12,4,0.28,33.33,1,1.12
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,254,322,1.27,10.73,4,2.68,1.24,,
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,22,28,1.27,1.4,,,,,
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img6_Copy1,5,5,1,0.07,,,,,
2025-06-13,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,5993,7145,1.19,92.76,53,1.75,0.74,19,4.88
2025-06-13,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5915,6712,1.13,97.71,47,2.08,0.7,18,5.43
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,783,1028,1.31,42.07,11,3.82,1.07,5,8.41
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,553,694,1.25,33.13,11,3.01,1.59,5,6.63
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,40,49,1.23,2.58,,,,1,2.58
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,281,380,1.35,20.35,5,4.07,1.32,5,4.07
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,22,27,1.23,1.79,1,1.79,3.7,,
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img6_Copy1,2,2,1,0.01,,,,,
2025-06-14,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,391,424,1.08,5.96,,,,,
2025-06-14,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,5889,6822,1.16,82.77,53,1.56,0.78,20,4.14
2025-06-14,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5763,6446,1.12,89.56,45,1.99,0.7,20,4.48
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,1238,1598,1.29,56.73,10,5.67,0.63,6,9.46
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,341,394,1.16,19.89,5,3.98,1.27,3,6.63
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,25,27,1.08,2.38,1,2.38,3.7,,
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,165,214,1.3,10.28,5,2.06,2.34,1,10.28
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,3,4,1.33,0.16,,,,,
2025-06-15,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,16,16,1,0.25,,,,,
2025-06-15,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,9563,11111,1.16,111.57,77,1.45,0.69,29,3.85
2025-06-15,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,6700,7965,1.19,111.94,51,2.19,0.64,16,7
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,2093,2708,1.29,86.83,21,4.13,0.78,4,21.71
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,499,593,1.19,21.33,6,3.56,1.01,,
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,5,5,1,0.22,,,,,
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,302,378,1.25,10.66,2,5.33,0.53,1,10.66
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,1,1,1,0.01,,,,,
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img6_Copy1,2,2,1,0.01,,,,,
2025-06-16,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,488,548,1.12,9.05,2,4.53,0.36,1,9.05
2025-06-16,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,8580,10249,1.19,101.91,78,1.31,0.76,37,2.75
2025-06-16,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8098,9408,1.16,112.42,63,1.78,0.67,24,4.68
2025-06-16,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,2038,2641,1.3,94.9,30,3.16,1.14,12,7.91
2025-06-16,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,123,141,1.15,4.9,1,4.9,0.71,1,4.9
2025-06-16,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,17,17,1,0.65,,,,,
2025-06-16,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,221,287,1.3,12.59,4,3.15,1.39,1,12.59
2025-06-17,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,479,536,1.12,7.13,5,1.43,0.93,,
2025-06-17,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,6048,7420,1.23,93.57,72,1.3,0.97,30,3.12
2025-06-17,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5780,6860,1.19,102.28,64,1.6,0.93,27,3.79
2025-06-17,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,1637,2165,1.32,94.34,19,4.97,0.88,4,23.59
2025-06-17,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,122,153,1.25,8.45,2,4.22,1.31,1,8.45
2025-06-17,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,10,11,1.1,0.29,1,0.29,9.09,,
2025-06-17,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,198,247,1.25,10.66,,,,,
2025-06-18,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,178,197,1.11,2.93,2,1.47,1.02,1,2.93
2025-06-18,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,2888,3390,1.17,44.76,31,1.44,0.91,13,3.44
2025-06-18,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,2908,3406,1.17,46.88,21,2.23,0.62,10,4.69
2025-06-18,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,785,1031,1.31,45.84,13,3.53,1.26,4,11.46
2025-06-18,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,49,54,1.1,2.85,2,1.43,3.7,1,2.85
2025-06-18,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,4,7,1.75,0.09,,,,,
2025-06-18,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,71,82,1.15,3.95,1,3.95,1.22,,
2025-06-19,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,3648,3991,1.09,47.99,33,1.45,0.83,13,3.69
2025-06-19,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,2715,2870,1.06,36.6,15,2.44,0.52,4,9.15
2025-06-19,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,16,19,1.19,0.36,,,,,
2025-06-19,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,450,628,1.4,13.78,2,6.89,0.32,,
2025-06-20,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,5469,6306,1.15,81.74,58,1.41,0.92,18,4.54
2025-06-20,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,5580,6527,1.17,77.71,52,1.49,0.8,25,3.11
2025-06-20,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,10298,12447,1.21,158.54,78,2.03,0.63,23,6.89
2025-06-20,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,0,0,0,0,,,,1,0
2025-06-20,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,107,157,1.47,7.65,2,3.83,1.27,,
2025-06-20,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,3113,4422,1.42,166.25,31,5.36,0.7,12,13.85
2025-06-21,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1260,1373,1.09,16.73,13,1.29,0.95,8,2.09
2025-06-21,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,6542,7763,1.19,104.38,60,1.74,0.77,21,4.97
2025-06-21,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8587,10253,1.19,131.34,58,2.26,0.57,16,8.21
2025-06-21,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,83,91,1.1,3.44,3,1.15,3.3,1,3.44
2025-06-21,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,2325,3315,1.43,144.13,35,4.12,1.06,10,14.41
2025-06-22,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,2071,2327,1.12,26.61,29,0.92,1.25,11,2.42
2025-06-22,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,5692,6708,1.18,87.45,58,1.51,0.86,24,3.64
2025-06-22,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8668,9685,1.12,116.93,54,2.17,0.56,18,6.5
2025-06-22,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,49,68,1.39,2.49,,,,,
2025-06-22,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,1779,2557,1.44,120.89,24,5.04,0.94,7,17.27
2025-06-23,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1946,2211,1.14,29.01,19,1.53,0.86,8,3.63
2025-06-23,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,4859,5949,1.22,76.2,60,1.27,1.01,22,3.46
2025-06-23,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,7045,7910,1.12,101.7,45,2.26,0.57,23,4.42
2025-06-23,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,72,107,1.49,5.67,1,5.67,0.93,2,2.84
2025-06-23,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,893,1187,1.33,85.13,19,4.48,1.6,4,21.28
2025-06-23,(Local) Campaña Café Gratis - Junio 2025,Conjunto de anuncios Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,Anuncio Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,764,847,1.11,18.02,1,18.02,0.12,,
2025-06-23,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,34,35,1.03,2.57,,,,,
2025-06-23,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,184,197,1.07,8.87,7,1.27,3.55,2,4.43
2025-06-23,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,679,746,1.1,23.49,4,5.87,0.54,4,5.87
2025-06-24,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1472,1632,1.11,28.09,17,1.65,1.04,7,4.01
2025-06-24,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,4112,4992,1.21,70.59,50,1.41,1,17,4.15
2025-06-24,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,7003,8021,1.15,98.11,43,2.28,0.54,16,6.13
2025-06-24,(Local) Campaña Café Gratis - Junio 2025,Conjunto de anuncios Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,Anuncio Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,1775,2280,1.28,62.17,11,5.65,0.48,4,15.54
2025-06-24,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,41,43,1.05,4.13,2,2.07,4.65,2,2.07
2025-06-24,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,961,1258,1.31,56.97,12,4.75,0.95,6,9.49
2025-06-24,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,681,833,1.22,36.56,6,6.09,0.72,4,9.14
2025-06-25,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1305,1501,1.15,29.98,23,1.3,1.53,10,3
2025-06-25,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,3789,4856,1.28,69.18,48,1.44,0.99,16,4.32
2025-06-25,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5801,6726,1.16,100.3,47,2.13,0.7,20,5.01
2025-06-25,(Local) Campaña Café Gratis - Junio 2025,Conjunto de anuncios Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,Anuncio Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,1091,1411,1.29,41.48,4,10.37,0.28,,
2025-06-25,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,6,6,1,0.13,,,,,
2025-06-25,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1764,2329,1.32,85.62,31,2.76,1.33,10,8.56
2025-06-25,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,470,528,1.12,25.16,7,3.59,1.33,4,6.29
2025-06-26,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1814,2074,1.14,39.4,31,1.27,1.49,13,3.03
2025-06-26,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,3334,4099,1.23,58.95,39,1.51,0.95,18,3.28
2025-06-26,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,6048,7326,1.21,95.28,37,2.58,0.51,21,4.54
2025-06-26,(Local) Campaña Café Gratis - Junio 2025,Conjunto de anuncios Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,Anuncio Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,1049,1480,1.41,48.52,5,9.7,0.34,1,48.52
2025-06-26,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,4,4,1,0.14,,,,,
2025-06-26,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1777,2068,1.16,78.93,21,3.76,1.02,11,7.18
2025-06-26,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,517,592,1.15,19.15,4,4.79,0.68,1,19.15
2025-06-27,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1846,2064,1.12,39.56,28,1.41,1.36,14,2.83
2025-06-27,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,2953,3701,1.25,63.03,55,1.15,1.49,23,2.74
2025-06-27,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5820,6659,1.14,100.95,49,2.06,0.74,24,4.21
2025-06-27,(Local) Campaña Café Gratis - Junio 2025,Conjunto de anuncios Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,Anuncio Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,1240,1614,1.3,51.63,11,4.69,0.68,1,51.63
2025-06-27,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,2,2,1,0.07,,,,,
2025-06-27,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1358,1703,1.25,81.69,27,3.03,1.59,11,7.43
2025-06-27,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,311,343,1.1,17.86,2,8.93,0.58,1,17.86
2025-06-28,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1224,1373,1.12,23.84,20,1.19,1.46,10,2.38
2025-06-28,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,2976,3668,1.23,58.11,57,1.02,1.55,28,2.08
2025-06-28,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,6219,6883,1.11,86.73,43,2.02,0.62,12,7.23
2025-06-28,(Local) Campaña Café Gratis - Junio 2025,Conjunto de anuncios Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,Anuncio Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,1133,1457,1.29,44.88,6,7.48,0.41,1,44.88
2025-06-28,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,1,1,1,0,,,,,
2025-06-28,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1510,1861,1.23,87.57,32,2.74,1.72,7,12.51
2025-06-28,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,85,102,1.2,3.96,1,3.96,0.98,1,3.96
2025-06-29,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,2127,2381,1.12,39.36,17,2.32,0.71,4,9.84
2025-06-29,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,4434,5338,1.2,74.08,57,1.3,1.07,22,3.37
2025-06-29,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8393,9459,1.13,112.24,52,2.16,0.55,19,5.91
2025-06-29,(Local) Campaña Café Gratis - Junio 2025,Conjunto de anuncios Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,Anuncio Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,1453,1886,1.3,59.52,9,6.61,0.48,2,29.76
2025-06-29,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1845,2327,1.26,111.97,31,3.61,1.33,15,7.46
2025-06-29,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,33,35,1.06,1.38,,,,,
2025-06-30,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1215,1345,1.11,32.23,22,1.47,1.64,9,3.58
2025-06-30,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,4361,5652,1.3,80.2,63,1.27,1.11,33,2.43
2025-06-30,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,7672,8533,1.11,108.33,53,2.04,0.62,17,6.37
2025-06-30,(Local) Campaña Café Gratis - Junio 2025,Conjunto de anuncios Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,Anuncio Crear anuncios que inicien conversaciones en WhatsApp 13/06/2025,273,307,1.12,9.97,4,2.49,1.3,,
2025-06-30,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1779,2230,1.25,104.79,37,2.83,1.66,14,7.49
2025-06-30,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,20,21,1.05,0.88,2,0.44,9.52,1,0.88
2025-07-01,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1074,1254,1.17,26,19,1.37,1.52,10,2.6
2025-07-01,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,4744,6060,1.28,74.06,56,1.32,0.92,23,3.22
2025-07-01,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8387,9478,1.13,99.1,52,1.91,0.55,21,4.72
2025-07-01,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1832,2417,1.32,96.07,22,4.37,0.91,14,6.86
2025-07-01,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,24,26,1.08,3.51,,,,,
2025-07-02,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1330,1553,1.17,29.69,25,1.19,1.61,12,2.47
2025-07-02,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,3757,4776,1.27,65.37,59,1.11,1.24,21,3.11
2025-07-02,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,7389,8512,1.15,94.7,55,1.72,0.65,25,3.79
2025-07-02,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,3,3,1,0.03,,,,,
2025-07-02,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1897,2298,1.21,90.62,26,3.49,1.13,11,8.24
2025-07-02,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,33,33,1,1.6,,,,,
2025-07-03,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,878,973,1.11,15.9,9,1.77,0.92,2,7.95
2025-07-03,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,2135,2564,1.2,32.53,27,1.2,1.05,11,2.96
2025-07-03,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5731,6551,1.14,82.31,41,2.01,0.63,21,3.92
2025-07-03,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1410,1771,1.26,78.06,32,2.44,1.81,7,11.15
2025-07-03,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,13,13,1,1.51,,,,,
2025-07-03,NS (Julio 2025) Amortiguadores - T01,01_Toluca_Abierto,Img1_Copy1,1514,1606,1.06,22.79,14,1.63,0.87,5,4.56
2025-07-03,NS (Julio 2025) Amortiguadores - T01,01_Toluca_Abierto,Img2_Copy1,86,96,1.12,2.23,1,2.23,1.04,1,2.23
2025-07-03,NS (Julio 2025) Amortiguadores - T01,01_Toluca_Abierto,Img3_Copy1,597,653,1.09,11.06,7,1.58,1.07,3,3.69
2025-07-03,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,101,109,1.08,2.38,1,2.38,0.92,,
2025-07-03,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img2_Copy1,367,406,1.11,12.79,6,2.13,1.48,4,3.2
2025-07-03,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,809,929,1.15,18.35,8,2.29,0.86,3,6.12
2025-07-04,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,0,0,0,0,,,,1,0
2025-07-05,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,0,0,0,0,,,,1,0
2025-07-05,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,0,0,0,0,,,,1,0
2025-07-08,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,35,37,1.06,2.85,,,,,
2025-07-08,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,1950,2235,1.15,119.32,33,3.62,1.48,9,13.26
2025-07-08,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,361,395,1.09,18.4,6,3.07,1.52,4,4.6
2025-07-08,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,2704,2816,1.04,49.53,24,2.06,0.85,9,5.5
2025-07-08,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img2_Copy1,1584,1742,1.1,35.57,16,2.22,0.92,6,5.93
2025-07-08,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,3255,3549,1.09,88.66,28,3.17,0.79,12,7.39
2025-07-09,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,30,35,1.17,3.76,,,,,
2025-07-09,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,2009,2706,1.35,127.81,54,2.37,2,11,11.62
2025-07-09,(TL) PP - Junio 2025 - T01,03_Estados Envío Gratis,01 - VS,319,377,1.18,14.1,5,2.82,1.33,3,4.7
2025-07-09,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img1_Copy1,4120,5409,1.31,100.72,73,1.38,1.35,38,2.65
2025-07-09,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img2_Copy1,457,548,1.2,15.23,5,3.05,0.91,2,7.62
2025-07-09,NS (Julio 2025) Llantas- T01,01_Toluca_Abierto,Img3_Copy1,1202,1510,1.26,44.65,23,1.94,1.52,13,3.43
2025-07-10,🏆 (Abril 2025) Camión - T01,02_Toluca_Abierto,🏆 (Abril) 11R22.5,1895,2151,1.14,48.57,13,3.74,0.6,2,24.29
2025-07-10,🏆 (Abril 2025) Camión - T01,04_Toluca_Abierto,🏆 (Abril) 11R22.5,5246,6243,1.19,125.41,50,2.51,0.8,14,8.96
2025-07-10,(TL) PP - Junio 2025 - T01,02_Estados Envío Gratis,02 - Carrito,9,9,1,0.14,,,,,
2025-07-10,(TL) PP - Junio 2025 - T01,01_Estados Envío Gratis -,01 - Testimonio,2288,2876,1.26,133.42,43,3.1,1.5,13,10.26
